state,party,omalley_del,clinton_del,sanders_del,huckabee_del,cruz_del,kasich_del,carson_del,trump_del,rubio_del,bush_del,fiorina_del,paul_del,uncommitted_del
US,DEM,0,1767,1488,,,,,,,,,,0
AL,DEM,0,44,9,,,,,,,,,,0
AK,DEM,0,3,13,,,,,,,,,,0
AS,DEM,0,4,2,,,,,,,,,,0
AZ,DEM,0,42,33,,,,,,,,,,0
AR,DEM,0,22,10,,,,,,,,,,0
CA,DEM,0,0,0,,,,,,,,,,0
CO,DEM,0,25,41,,,,,,,,,,0
CT,DEM,0,28,27,,,,,,,,,,0
DE,DEM,0,12,9,,,,,,,,,,0
DA,DEM,0,4,9,,,,,,,,,,0
DC,DEM,0,0,0,,,,,,,,,,0
FL,DEM,0,141,73,,,,,,,,,,0
GA,DEM,0,73,29,,,,,,,,,,0
GU,DEM,0,4,3,,,,,,,,,,0
HI,DEM,0,8,17,,,,,,,,,,0
ID,DEM,0,5,18,,,,,,,,,,0
IL,DEM,0,79,77,,,,,,,,,,0
IN,DEM,0,39,44,,,,,,,,,,0
IA,DEM,0,23,21,,,,,,,,,,0
KS,DEM,0,10,23,,,,,,,,,,0
KY,DEM,0,27,27,,,,,,,,,,0
LA,DEM,0,37,14,,,,,,,,,,0
ME,DEM,0,8,17,,,,,,,,,,0
MD,DEM,0,61,33,,,,,,,,,,0
MA,DEM,0,46,45,,,,,,,,,,0
MI,DEM,0,63,67,,,,,,,,,,0
MN,DEM,0,31,46,,,,,,,,,,0
MS,DEM,0,32,4,,,,,,,,,,0
MO,DEM,0,36,35,,,,,,,,,,0
MT,DEM,0,0,0,,,,,,,,,,0
NE,DEM,0,10,15,,,,,,,,,,0
NV,DEM,0,20,15,,,,,,,,,,0
NH,DEM,0,9,15,,,,,,,,,,0
NJ,DEM,0,0,0,,,,,,,,,,0
NM,DEM,0,0,0,,,,,,,,,,0
NY,DEM,0,139,108,,,,,,,,,,0
NC,DEM,0,59,45,,,,,,,,,,0
ND,DEM,0,0,0,,,,,,,,,,0
MP,DEM,0,4,2,,,,,,,,,,0
OH,DEM,0,81,62,,,,,,,,,,0
OK,DEM,0,17,21,,,,,,,,,,0
OR,DEM,0,24,28,,,,,,,,,,0
PA,DEM,0,105,83,,,,,,,,,,0
PR,DEM,0,0,0,,,,,,,,,,0
RI,DEM,0,11,13,,,,,,,,,,0
SC,DEM,0,39,14,,,,,,,,,,0
SD,DEM,0,0,0,,,,,,,,,,0
TN,DEM,0,44,23,,,,,,,,,,0
TX,DEM,0,147,75,,,,,,,,,,0
UN,DEM,0,0,0,,,,,,,,,,0
UT,DEM,0,6,27,,,,,,,,,,0
VT,DEM,0,0,16,,,,,,,,,,0
VI,DEM,0,0,0,,,,,,,,,,0
VA,DEM,0,62,33,,,,,,,,,,0
WA,DEM,0,27,74,,,,,,,,,,0
WV,DEM,0,11,18,,,,,,,,,,0
WI,DEM,0,38,48,,,,,,,,,,0
WY,DEM,0,7,7,,,,,,,,,,0
US,GOP,,,,1,548,159,9,1102,166,4,1,1,13
AL,GOP,,,,0,13,0,0,36,1,0,0,0,0
AK,GOP,,,,0,12,0,0,11,5,0,0,0,0
AS,GOP,,,,0,0,0,0,0,0,0,0,0,0
AZ,GOP,,,,0,0,0,0,58,0,0,0,0,0
AR,GOP,,,,0,15,0,0,16,9,0,0,0,0
CA,GOP,,,,0,0,0,0,0,0,0,0,0,0
CO,GOP,,,,0,30,0,0,0,0,0,0,0,0
CT,GOP,,,,0,0,0,0,28,0,0,0,0,0
DE,GOP,,,,0,0,0,0,16,0,0,0,0,0
DC,GOP,,,,0,0,9,0,0,10,0,0,0,0
FL,GOP,,,,0,0,0,0,99,0,0,0,0,0
GA,GOP,,,,0,18,0,0,42,16,0,0,0,0
GU,GOP,,,,0,0,0,0,0,0,0,0,0,0
HI,GOP,,,,0,7,0,0,11,1,0,0,0,0
ID,GOP,,,,0,20,0,0,12,0,0,0,0,0
IL,GOP,,,,0,9,6,0,54,0,0,0,0,0
IN,GOP,,,,0,0,0,0,57,0,0,0,0,0
IA,GOP,,,,1,8,1,3,7,7,1,1,1,0
KS,GOP,,,,0,24,1,0,9,6,0,0,0,0
KY,GOP,,,,0,15,7,0,17,7,0,0,0,0
LA,GOP,,,,0,18,0,0,25,0,0,0,0,3
ME,GOP,,,,0,12,2,0,9,0,0,0,0,0
MD,GOP,,,,0,0,0,0,38,0,0,0,0,0
MA,GOP,,,,0,4,8,0,22,8,0,0,0,0
MI,GOP,,,,0,17,17,0,25,0,0,0,0,0
MN,GOP,,,,0,13,0,0,8,17,0,0,0,0
MS,GOP,,,,0,15,0,0,25,0,0,0,0,0
MO,GOP,,,,0,15,0,0,37,0,0,0,0,0
MT,GOP,,,,0,0,0,0,0,0,0,0,0,0
NE,GOP,,,,0,0,0,0,36,0,0,0,0,0
NV,GOP,,,,0,6,1,2,14,7,0,0,0,0
NH,GOP,,,,0,3,4,0,11,2,3,0,0,0
NJ,GOP,,,,0,0,0,0,0,0,0,0,0,0
NM,GOP,,,,0,0,0,0,0,0,0,0,0,0
NY,GOP,,,,0,0,6,0,89,0,0,0,0,0
NC,GOP,,,,0,27,9,1,29,6,0,0,0,0
ND,GOP,,,,0,0,0,0,0,0,0,0,0,0
MP,GOP,,,,0,0,0,0,9,0,0,0,0,0
OH,GOP,,,,0,0,66,0,0,0,0,0,0,0
OK,GOP,,,,0,15,0,0,13,12,0,0,0,3
OR,GOP,,,,0,3,3,0,17,0,0,0,0,0
